Ref,Val,Package,PosX,PosY,Rot,Side
"C2","27p","C_0402_1005Metric",185.039000,-147.828000,0.000000,top
"C3","27p","C_0402_1005Metric",181.787800,-147.828000,180.000000,top
"R1","1k","C_0402_1005Metric",183.489600,-147.980400,90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",183.388000,-136.271000,270.000000,top
"U3","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",183.388000,-127.000000,270.000000,top
"U7","RP2040","RP2040-QFN-56-no_holes",183.388000,-155.270200,180.000000,top
"Y1","ABLS-12.000MHZ-B4-T","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",183.134000,-144.399000,90.000000,top
