Ref,Val,Package,PosX,PosY,Rot,Side
"C2","27p","C_0402_1005Metric",103.378000,-113.284000,0.000000,bottom
"C3","27p","C_0402_1005Metric",100.203000,-113.284000,180.000000,bottom
"C6","100n","C_0402_1005Metric",100.584000,-120.269000,0.000000,bottom
"C15","100n","C_0402_1005Metric",104.140000,-116.459000,90.000000,bottom
"C16","10u","C_0805_2012Metric",100.330000,-90.424000,270.000000,bottom
"C17","10u","C_0805_2012Metric",103.251000,-90.297000,90.000000,bottom
"R1","1k","C_0402_1005Metric",101.854000,-112.776000,90.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",102.235000,-123.825000,180.000000,bottom
